Block, Condition, Item, Key, Accuracy, RT
glob1,incongruent,Lk,['l'],True,0.548136
glob1,congruent,Kk,['k'],True,0.494510
glob1,congruent,Ll,['l'],True,0.484560
glob1,incongruent,Kl,['k'],True,0.533683
glob1,congruent,Ll,['l'],True,0.509572
glob1,incongruent,Lk,['l'],True,0.520546
glob1,congruent,Ll,['l'],True,0.801823
glob1,incongruent,Kl,['k'],True,0.432838
glob1,incongruent,Kl,['k'],True,0.457622
glob1,incongruent,Lk,['l'],True,0.479540
glob1,congruent,Kk,['k'],True,0.451010
glob1,incongruent,Lk,['l'],True,0.546884
glob1,congruent,Kk,['k'],True,0.525700
glob1,congruent,Kk,['k'],True,0.559739
glob1,congruent,Kk,['k'],True,0.532583
glob1,incongruent,Lk,['l'],True,0.630232
glob1,incongruent,Kl,['k'],True,0.473671
glob1,congruent,Ll,['l'],True,0.706126
glob1,incongruent,Lk,['k'],False,0.439525
glob1,congruent,Ll,['l'],True,0.813993
glob1,incongruent,Lk,['l'],True,0.479643
glob1,congruent,Ll,['l'],True,0.722477
glob1,congruent,Ll,['l'],True,0.402525
glob1,incongruent,Kl,['k'],True,0.538710
glob1,incongruent,Lk,['l'],True,0.650723
loc1,congruent,Kk,['k'],True,0.739896
loc1,incongruent,Kl,['l'],True,0.639060
loc1,congruent,Ll,['l'],True,0.733092
loc1,congruent,Kk,['k'],True,0.604259
loc1,congruent,Kk,['k'],True,0.535963
loc1,incongruent,Lk,['k'],True,0.656672
loc1,incongruent,Kl,['l'],True,0.550194
loc1,incongruent,Kl,['l'],True,0.575000
loc1,incongruent,Lk,['k'],True,0.499194
loc1,incongruent,Lk,['k'],True,0.445745
loc1,incongruent,Lk,['k'],True,0.572807
loc1,incongruent,Kl,['l'],True,0.592128
loc1,incongruent,Lk,['k'],True,0.596295
loc1,congruent,Ll,['l'],True,0.621507
loc1,congruent,Ll,['l'],True,0.531776
loc1,incongruent,Kl,['l'],True,0.493228
loc1,congruent,Ll,['l'],True,0.646315
loc1,congruent,Kk,['k'],True,0.524750
loc1,incongruent,Lk,['k'],True,1.247019
loc1,incongruent,Lk,['k'],True,0.730502
loc1,incongruent,Kl,['l'],True,0.601576
loc1,congruent,Ll,['l'],True,0.556866
loc1,congruent,Ll,['l'],True,0.671725
loc1,incongruent,Kl,['l'],True,0.676553
loc1,congruent,Kk,['k'],True,0.611871
loc2,congruent,Kk,['k'],True,0.595926
loc2,congruent,Kk,['k'],True,0.631734
loc2,congruent,Ll,['l'],True,0.708529
loc2,congruent,Kk,['k'],True,0.497447
loc2,incongruent,Lk,['k'],True,0.738234
loc2,incongruent,Lk,['k'],True,0.816399
loc2,incongruent,Lk,['k'],True,0.689851
loc2,incongruent,Lk,['k'],True,0.631835
loc2,incongruent,Kl,['l'],True,0.762847
loc2,incongruent,Kl,['l'],True,0.666738
loc2,incongruent,Lk,['k'],True,0.902896
loc2,congruent,Ll,['l'],True,1.064840
loc2,congruent,Ll,['l'],True,0.544730
loc2,incongruent,Kl,['l'],True,1.042912
loc2,congruent,Ll,['l'],True,1.000672
loc2,incongruent,Kl,['l'],True,0.711337
loc2,incongruent,Kl,['l'],True,0.671045
loc2,incongruent,Kl,['l'],True,0.554513
loc2,congruent,Kk,['k'],True,0.515588
loc2,incongruent,Lk,['k'],True,0.671567
loc2,incongruent,Lk,['k'],True,0.621194
loc2,congruent,Kk,['k'],True,0.735666
loc2,congruent,Ll,['l'],True,1.030948
loc2,incongruent,Kl,['l'],True,0.629929
loc2,incongruent,Kl,['l'],True,0.802148
glob2,incongruent,Lk,['l'],True,0.608413
glob2,incongruent,Kl,['k'],True,0.515872
glob2,incongruent,Kl,['k'],True,0.582849
glob2,congruent,Ll,['l'],True,0.488346
glob2,incongruent,Lk,['l'],True,0.768678
glob2,incongruent,Kl,['k'],True,0.689314
glob2,congruent,Ll,['l'],True,0.493529
glob2,incongruent,Kl,['k'],True,0.576384
glob2,incongruent,Lk,['l'],True,0.747909
glob2,incongruent,Kl,['k'],True,1.131571
glob2,incongruent,Lk,['l'],True,0.590722
glob2,incongruent,Kl,['k'],True,0.567738
glob2,congruent,Ll,['l'],True,0.545869
glob2,incongruent,Kl,['k'],True,0.629807
glob2,incongruent,Kl,['k'],True,0.505814
glob2,incongruent,Kl,['k'],True,0.513184
glob2,incongruent,Lk,['l'],True,0.892247
glob2,incongruent,Kl,['k'],True,0.500820
glob2,congruent,Kk,['k'],True,0.406157
glob2,incongruent,Kl,['k'],True,1.075803
glob2,congruent,Ll,['l'],True,0.797246
glob2,congruent,Kk,['k'],True,0.606321
glob2,congruent,Ll,['l'],True,0.666678
glob2,incongruent,Kl,['k'],True,0.616421
glob2,congruent,Ll,['l'],True,0.730556
Done at 257.645016